Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Academy Requests),Custom field (Access Card),Custom field (Access Card Request),Custom field (Actual end),Custom field (Actual start),Custom field (Add Participants),Custom field (Add Participants),Custom field (Add Participants),Custom field (Add Participants)Id,Custom field (Add Participants)Id,Custom field (Add Participants)Id,Custom field (AddressedTo),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Approvers),Custom field (Approvers)Id,Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Complaint Type),Custom field (Development),Custom field (Document Change Type),Custom field (Document URL),Custom field (EDA Tools),Custom field (Employee Relations Request),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (HRIS),Custom field (Hardware Type),Custom field (ID),Custom field (ID),Custom field (ID Numbers Only),Custom field (IT Priority),Custom field (Impact),Custom field (Implementation plan),Custom field (Include Salary),Custom field (Investigation reason),Custom field (Issue color),Custom field (Language),Custom field (Location),Custom field (Location),Custom field (Locked forms),Custom field (Maintenance Type),Custom field (Major incident),Custom field (Medical Insurance Request),Custom field (Open forms),Custom field (Operational categorization),Custom field (Organization Development Request),Custom field (Organizations),Custom field (Others),Custom field (Others)Id,Custom field (Participants),Custom field (Participants)Id,Custom field (Payroll Calculation),Custom field (Pending reason),Custom field (Performance Management Request),Custom field (Personal Document Type),Custom field (Planned end),Custom field (Planned start),Custom field (Priority Security Queue),Custom field (Product categorization),Custom field (Project),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Referral Program Request),Custom field (Request Type),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Custom field (Salary Included),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Si-Desking Request),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Synopsys Request),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Time to triage normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vacation Type),Custom field (Vacations Request),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Status Category,Status Category Changed
Request a notebook,SVF-5317,36859,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Ahmed Rekaby,712020:7de7c542-8bc9-49e9-b6fb-8b0aea7bc3a1,Ahmed Rekaby,712020:7de7c542-8bc9-49e9-b6fb-8b0aea7bc3a1,11/Mar/26 1:27 PM,11/Mar/26 3:07 PM,,11/Mar/26 3:07 PM,,,0,,,I need a notebook,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d8844d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029hr:,,,Notebook,English,,,,,,Yes,,,,,,,,,,,,,,,,,,5:55,30:19,,,,,,,,service-request,,2026-03-11 11:31:38.886,1_*:*_1_*:*_243100_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_11121,,"11/Mar/26 1:31 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 3:07 PM
Printing Papers,SVF-5316,36857,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Mohamed Ismail,712020:105307d0-ec31-4d87-989a-995099f6f032,Mohamed Ismail,712020:105307d0-ec31-4d87-989a-995099f6f032,11/Mar/26 1:05 PM,12/Mar/26 7:58 AM,,11/Mar/26 3:07 PM,,,0,,,"Please we kindly request 

* 3 Packs of printing papers

Thanks In advance . ",,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@496c0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029hb:,,,Printing Papers,English,,,,,,Yes,5,12/Mar/26 7:58 AM,,,,,,,,,,,,,,,,5:33,29:57,,,,,,,,service-request,,2026-03-11 11:32:27.281,1_*:*_1_*:*_1582045_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_37255,,"11/Mar/26 1:32 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 3:07 PM
I need a battery for my mouse,SVF-5315,36818,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Hazem Hassan,712020:1dbf6bd4-c4e2-4b6d-a422-6b74524c48de,Hazem Hassan,712020:1dbf6bd4-c4e2-4b6d-a422-6b74524c48de,11/Mar/26 11:50 AM,11/Mar/26 1:31 PM,,11/Mar/26 1:31 PM,,,0,,,I need a battery for my mouse,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c2c6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029fr:,,,Mouse Battery,English,,,,,,Yes,,,,,,,,,,,,,,,,,,2:37,14:19,,,,,,,,service-request,,2026-03-11 10:12:13.484,1_*:*_1_*:*_1312529_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_8267,,"11/Mar/26 12:12 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 1:31 PM
I need a notebook,SVF-5314,36814,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Menna Salah,712020:982b0333-e2bc-4317-b6b0-58e1f77e4ac9,Menna Salah,712020:982b0333-e2bc-4317-b6b0-58e1f77e4ac9,11/Mar/26 11:12 AM,11/Mar/26 12:12 PM,,11/Mar/26 12:12 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3673f34f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029ev:,,,Notebook,English,,,,,,Yes,,,,,,,,,,,,,,,,,,5:54,30:59,,,,,,,,service-request,,2026-03-11 09:17:44.249,1_*:*_1_*:*_321520_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_8964,,"11/Mar/26 11:17 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 12:12 PM
I need a pen and a notebook,SVF-5313,36813,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Menna Salah,712020:982b0333-e2bc-4317-b6b0-58e1f77e4ac9,Menna Salah,712020:982b0333-e2bc-4317-b6b0-58e1f77e4ac9,11/Mar/26 11:11 AM,11/Mar/26 12:12 PM,,11/Mar/26 12:12 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@249183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029en:,,,Pen,English,,,,,,Yes,,,,,,,,,,,,,,,,,,5:53,30:59,,,,,,,,service-request,,2026-03-11 09:18:04.283,1_*:*_1_*:*_365339_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_13808,,"11/Mar/26 11:18 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 12:12 PM
Temp. If required for today,SVF-5312,36810,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Mahmoud Dagher,712020:24be1a48-4de7-4cd8-80cf-8121541efa00,Mahmoud Dagher,712020:24be1a48-4de7-4cd8-80cf-8121541efa00,11/Mar/26 11:00 AM,11/Mar/26 11:06 AM,,11/Mar/26 11:06 AM,,,0,,,I forgot my ID for today.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66c372d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029dz:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,0:08,0:38,,,,,,,,service-request,,,1_*:*_1_*:*_376434_*|*_5_*:*_1_*:*_0,,,,,,,,,Done,11/Mar/26 11:06 AM
i need blue pens,SVF-5311,36808,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Gina Farid,712020:7cf9f2b4-284c-4462-92c0-eb75664b6006,Gina Farid,712020:7cf9f2b4-284c-4462-92c0-eb75664b6006,11/Mar/26 10:49 AM,11/Mar/26 1:36 PM,,11/Mar/26 11:49 AM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d8ccf91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029dj:,,,Pen,English,,,,,,Yes,5,11/Mar/26 1:36 PM,,,,,,,,,,,,,,,,5:31,31:00,,,,,,,,service-request,,2026-03-11 09:18:20.466,1_*:*_1_*:*_1690233_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_11618,,"11/Mar/26 11:18 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 11:49 AM
"Hi, I need a notebook and a pen. Thank You!",SVF-5310,36807,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Abdelrahman Abdelsalam,712020:b34caa9e-f38d-46a6-b96f-6d4e38af3f17,Abdelrahman Abdelsalam,712020:b34caa9e-f38d-46a6-b96f-6d4e38af3f17,11/Mar/26 10:39 AM,11/Mar/26 11:18 AM,,11/Mar/26 11:18 AM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@573f178d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029db:,,,Notebook,English,,,,,,Yes,,,,,,,,,,,,,,,,,,5:59,31:21,,,,,,,,service-request,,2026-03-11 08:40:44.247,1_*:*_1_*:*_37951_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7790,,"11/Mar/26 10:40 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 11:18 AM
I lost my ID and need temp ID until new one is out ,SVF-5309,36804,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,Aya Hussein,712020:81232768-8a4e-45cc-9334-1245469ab21f,Shadwa Abdellatif,712020:d1ec1dc4-49f3-4617-96b8-5cf1dda5464c,Shadwa Abdellatif,712020:d1ec1dc4-49f3-4617-96b8-5cf1dda5464c,11/Mar/26 10:16 AM,11/Mar/26 10:40 AM,,11/Mar/26 10:40 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a3404e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029cn:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,-0:08,0:21,,,,,,,,service-request,,,1_*:*_1_*:*_1359162_*|*_3_*:*_1_*:*_0,,"11/Mar/26 10:33 AM;712020:d1ec1dc4-49f3-4617-96b8-5cf1dda5464c;Hi 
I would like to close this request , i already got temp ID based on this request ([https://itsupportsivision.atlassian.net/browse/SVF-5305|https://itsupportsivision.atlassian.net/browse/SVF-5305|smart-link] )",,,,,,,Done,11/Mar/26 10:40 AM
Forgot my id today ,SVF-5308,36801,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Abdelrahman Sabry,712020:8da26497-adef-4833-ae48-703672d7baf7,Abdelrahman Sabry,712020:8da26497-adef-4833-ae48-703672d7baf7,11/Mar/26 10:13 AM,11/Mar/26 10:14 AM,,11/Mar/26 10:14 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5faa6699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029bz:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,0:13,0:43,,,,,,,,service-request,,,1_*:*_1_*:*_81627_*|*_5_*:*_1_*:*_0,,,,,,,,,Done,11/Mar/26 10:14 AM
I need a notebook please ,SVF-5307,36795,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Low,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Shehab Elgbaly,712020:fa9b762c-dd71-4667-aa70-828dbdb31f8a,Shehab Elgbaly,712020:fa9b762c-dd71-4667-aa70-828dbdb31f8a,11/Mar/26 8:57 AM,11/Mar/26 12:12 PM,,11/Mar/26 12:12 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27f40dd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i029an:,,,Extra Supplies Request,English,,,,,,Yes,,,,,,,,,,,,,,,,,,6:19,76:47,,,,,,,,service-request,,2026-03-11 08:40:56.362,1_*:*_1_*:*_6194536_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_9027,,"11/Mar/26 10:40 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 12:12 PM
I need a new pen,SVF-5306,36583,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Mohamed Elghourab,712020:51f76fa4-4347-435f-9392-c145c53522e4,Mohamed Elghourab,712020:51f76fa4-4347-435f-9392-c145c53522e4,10/Mar/26 2:16 PM,11/Mar/26 11:18 AM,,11/Mar/26 11:18 AM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@25df1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02967:,,,Pen,English,,,,,,Yes,,,,,,,,,,,,,,,,,,1:35,26:57,,,,,,,,service-request,,2026-03-11 08:41:08.195,1_*:*_1_*:*_73469014_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_8927,,"11/Mar/26 10:41 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,,Done,11/Mar/26 11:18 AM
373,SVF-5305,36512,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Low,Done,Aya Hussein,712020:81232768-8a4e-45cc-9334-1245469ab21f,Shadwa Abdellatif,712020:d1ec1dc4-49f3-4617-96b8-5cf1dda5464c,Shadwa Abdellatif,712020:d1ec1dc4-49f3-4617-96b8-5cf1dda5464c,10/Mar/26 11:34 AM,27/Apr/26 4:35 PM,,27/Apr/26 4:35 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,10/Mar/26 11:34 AM;712020:d1ec1dc4-49f3-4617-96b8-5cf1dda5464c;user-original.png;https://itsupportsivision.atlassian.net/rest/api/3/attachment/content/21462,,,,,,,,,,,,,Lost Access Card,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f260c3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0294n:,,,I have lost my ID,English,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:2862ba4c-266b-4c40-8463-f9fef0fb755a(qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:2862ba4c-266b-4c40-8463-f9fef0fb755a),0f3532f5-e7d7-4f7c-8460-90a0f6ae15bd(0f3532f5-e7d7-4f7c-8460-90a0f6ae15bd),,,,Yes,,,,,,,,,,,,,,,,,,0:52,-197:01,,,,,,,,service-request,,2026-03-11 08:41:44.461,1_*:*_1_*:*_83240060_*|*_3_*:*_1_*:*_0,,10/Mar/26 11:34 AM;712020:d1ec1dc4-49f3-4617-96b8-5cf1dda5464c;!user-original.png|thumbnail!,"11/Mar/26 10:41 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear , 
Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible regards

Facilities team",,,,,,Done,27/Apr/26 4:35 PM
I forgot my ID,SVF-5304,36510,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Mennatullah Mohamed,712020:6191e831-53d3-4e12-b182-3de5a401ebfb,Mennatullah Mohamed,712020:6191e831-53d3-4e12-b182-3de5a401ebfb,10/Mar/26 10:54 AM,10/Mar/26 10:56 AM,,10/Mar/26 10:56 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@44293ad5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02947:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,0:12,0:42,,,,,,,,service-request,,,1_*:*_1_*:*_132273_*|*_5_*:*_1_*:*_0,,,,,,,,,Done,10/Mar/26 10:56 AM
I forgot my id,SVF-5303,36504,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Kirollos Atef,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:3b5342c7-7c6e-422b-8ee5-29b1140cebb1,Kirollos Atef,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:3b5342c7-7c6e-422b-8ee5-29b1140cebb1,10/Mar/26 10:25 AM,10/Mar/26 10:56 AM,,10/Mar/26 10:56 AM,,,0,,,I forgot my id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@191089f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0292v:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,-0:16,0:13,,,,,,,,service-request,,,1_*:*_1_*:*_1869681_*|*_5_*:*_1_*:*_0,,,,,,,,,Done,10/Mar/26 10:56 AM
Forgot my ID,SVF-5302,36502,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Ahmed Naguib,712020:31519adc-fbfb-4c7c-a83f-72bd11574b11,Ahmed Naguib,712020:31519adc-fbfb-4c7c-a83f-72bd11574b11,10/Mar/26 10:05 AM,10/Mar/26 10:17 AM,,10/Mar/26 10:17 AM,,,0,,,Forgot my UD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d1fb63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0292f:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,0:03,0:33,,,,,,,,service-request,,,1_*:*_1_*:*_684602_*|*_5_*:*_1_*:*_0,,,,,,,,,Done,10/Mar/26 10:17 AM
I need a temp id bec i forgot mine today ,SVF-5301,36497,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Mennatullah Hassan,712020:86bacff1-53d9-4e27-a003-0b1752fd33b5,Mennatullah Hassan,712020:86bacff1-53d9-4e27-a003-0b1752fd33b5,10/Mar/26 9:35 AM,10/Mar/26 9:54 AM,,10/Mar/26 9:54 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14e1f155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0291b:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,-0:03,0:26,,,,,,,,service-request,,,1_*:*_1_*:*_1093370_*|*_5_*:*_1_*:*_0,,,,,,,,,Done,10/Mar/26 9:54 AM
damaged cover cover,SVF-5300,36270,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,mostafa.ayman,712020:95b77a02-cff6-4f81-b100-8ad3396783fe,mostafa.ayman,712020:95b77a02-cff6-4f81-b100-8ad3396783fe,09/Mar/26 1:56 PM,09/Mar/26 2:24 PM,,09/Mar/26 2:24 PM,,,0,,,the one i received now is also damaged  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38273d71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i028tj:,,,Plastic cover,English,,,,,,Yes,,,,,,,,,,,,,,,,,,5:32,31:32,,,,,,,,service-request,,,1_*:*_1_*:*_1645864_*|*_10001_*:*_1_*:*_0,,,,,,,,,Done,09/Mar/26 2:24 PM
